name,reviewCount,price,type_list,rating,source
Papelli,696,€€ - €€€,"[""Italienne"", ""Pizza"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.5,Tripadvisor
Papelli,238,€€ - €€€,"[""Pizza"", ""Italienne"", ""Européenne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.5,Tripadvisor
Les Rupins,547,€€ - €€€,"[""Steakhouse"", ""Française"", ""Internationale"", ""Européenne"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]",4.5,Tripadvisor
Assanabel,321,€€ - €€€,"[""Libanaise"", ""Méditerranéenne"", ""Saine"", ""Moyen-Orient"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Halal"", ""Plats sans gluten""]",4.5,Tripadvisor
Pratolina,199,€€ - €€€,"[""Italienne"", ""Méditerranéenne"", ""Européenne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.5,Tripadvisor
BMK Paris-Bamako,91,€€ - €€€,"[""Africaine"", ""Café"", ""Marocaine"", ""Méditerranéenne"", ""Végétariens bienvenus""]",4.5,Tripadvisor
Kashmir House,978,€€ - €€€,"[""Indienne"", ""Asiatique"", ""Pakistanaise"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Halal""]",4.5,Tripadvisor
Urfa Dürüm,225,€,"[""Restauration rapide"", ""Turque"", ""Moyen-Orient"", ""Végétariens bienvenus""]",4.5,Tripadvisor
La Maison Bleue,541,€€ - €€€,"[""Française"", ""Européenne"", ""Végétariens bienvenus""]",4.0,Tripadvisor
Sette Pizza,253,€,"[""Italienne"", ""Pizza"", ""Européenne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.5,Tripadvisor
Pleine Mer,94,€€ - €€€,"[""Française"", ""Fruits de mer & Poisson""]",4.5,Tripadvisor
Jah Jah By Le Tricycle,85,€,"[""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]",4.5,Tripadvisor
La Villa Andrea,322,€€ - €€€,"[""Italienne"", ""Pizza"", ""Méditerranéenne"", ""Européenne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.0,Tripadvisor
Paris New York Fbg St-Denis,622,€€ - €€€,"[""Américaine""]",4.0,Tripadvisor
Distrito Frances,229,€€ - €€€,"[""Mexicaine"", ""Latino"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]",4.0,Tripadvisor
ToTon,68,€,"[""Italienne"", ""Méditerranéenne"", ""Européenne"", ""Végétariens bienvenus""]",5.0,Tripadvisor
Mazzucco,105,€€ - €€€,"[""Italienne"", ""Pizza"", ""Végétariens bienvenus""]",4.5,Tripadvisor
Le daily syrien,136,€,"[""Libanaise"", ""Méditerranéenne"", ""Moyen-Orient"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.5,Tripadvisor
Piccola Italia,163,€€ - €€€,"[""Italienne"", ""Européenne""]",4.5,Tripadvisor
Yasmin,237,€,"[""Indienne"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Halal""]",4.0,Tripadvisor
Ciacco,153,€€ - €€€,"[""Italienne"", ""Pizza"", ""Méditerranéenne"", ""Européenne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.0,Tripadvisor
Chez Ann Rive Droite,103,€,"[""Chinoise"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]",4.5,Tripadvisor
Pizza Grill Istanbul,160,€€ - €€€,"[""Méditerranéenne"", ""Barbecue/Grillades"", ""Turque"", ""Moyen-Orient"", ""Végétariens bienvenus"", ""Halal""]",4.5,Tripadvisor
Elaichi Indian Street Food,50,€,"[""Indienne"", ""Végétariens bienvenus"", ""Choix végétaliens"", ""Plats sans gluten""]",4.5,Tripadvisor
Fédération Française de L'Apéritif,54,€€ - €€€,"[""Française""]",5.0,Tripadvisor
Terminus Nord,1,€€ - €€€,"[""Française"", ""Fruits de mer & Poisson"", ""Européenne"", ""Végétariens bienvenus""]",4.0,Tripadvisor
Nanashi,147,€€ - €€€,"[""Japonaise"", ""Asiatique"", ""Fusion"", ""Végétariens bienvenus"", ""Plats sans gluten"", ""Choix végétaliens""]",4.0,Tripadvisor
Aux Cedres du Nord,96,€€ - €€€,"[""Libanaise"", ""Méditerranéenne"", ""Moyen-Orient"", ""Choix végétaliens"", ""Végétariens bienvenus""]",4.5,Tripadvisor
Pooja Namo,182,€€ - €€€,"[""Indienne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.0,Tripadvisor
Le Petit Marcel Burger,46,€,[],4.5,Tripadvisor
YUMMY Asian Food,425,€,"[""Chinoise"", ""Japonaise"", ""Sushi"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens""]",3.5,Tripadvisor
Chiche Houmoussiya,32,€€ - €€€,"[""Végétariens bienvenus"", ""Choix végétaliens""]",4.5,Tripadvisor
Le Fil Rouge Café,232,€€ - €€€,"[""Américaine""]",4.0,Tripadvisor
La Dispensa,41,€€ - €€€,"[""Italienne"", ""Méditerranéenne""]",4.5,Tripadvisor
New Delhi Palace,87,€€ - €€€,"[""Indienne"", ""Végétariens bienvenus""]",4.0,Tripadvisor
Nous Paradis,71,€€ - €€€,"[""Végétariens bienvenus"", ""Plats sans gluten""]",4.5,Tripadvisor
Lucky Luciano Pizza,283,€€ - €€€,"[""Italienne"", ""Pizza"", ""Végétariens bienvenus""]",4.0,Tripadvisor
Mamie Burger Faubourg Saint Denis,146,€€ - €€€,"[""Américaine"", ""Européenne"", ""Française"", ""Végétariens bienvenus""]",4.0,Tripadvisor
Tresor De Kashmir,85,€€ - €€€,"[""Indienne"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.0,Tripadvisor
SushiRama,45,€€ - €€€,"[""Japonaise"", ""Sushi""]",4.5,Tripadvisor
Chez LIN,68,€,"[""Chinoise"", ""Végétariens bienvenus""]",4.5,Tripadvisor
passage de pondichery,124,€€ - €€€,"[""Indienne"", ""Asiatique"", ""Végétariens bienvenus"", ""Choix végétaliens""]",4.0,Tripadvisor
